temporada;data;time_casa;time_fora;gols_casa_ft;gols_fora_ft;resultado_ft;odd_pinnacle_casa;odd_pinnacle_empate;odd_pinnacle_fora;odd_media_casa;odd_media_empate;odd_media_fora
2012;2012-08-26;Sport Recife;Nautico;0;0;D;2,52;3,52;2,88;2,47;3,22;2,72
2012;2012-08-29;Coritiba;Internacional;1;0;H;2,64;3,22;2,98;2,55;3,16;2,69
2012;2012-08-29;Santos;Bahia;1;3;A;1,34;5,3;10,72;1,34;4,6;8,84
2012;2012-08-30;Atletico-MG;Ponte Preta;2;2;D;1,41;4,82;9,26;1,38;4,39;7,86
2012;2012-08-30;Nautico;Figueirense;3;2;H;1,78;3,75;5,12;1,74;3,49;4,55
2012;2012-08-30;Portuguesa;Palmeiras;3;0;H;2,9;3,18;2,73;2,75;3,1;2,53
2012;2012-08-30;Atletico GO;Cruzeiro;0;2;A;2,29;3,48;3,31;2,25;3,29;3,01
2012;2012-08-30;Fluminense;Corinthians;1;1;D;2,14;3,39;3,76;2,07;3,23;3,48
2012;2012-08-30;Gremio;Vasco;2;0;H;1,85;3,61;4,82;1,8;3,4;4,33
2012;2012-08-31;Flamengo RJ;Sport Recife;1;1;D;1,57;4,19;6,72;1,5;3,91;6,34
2012;2012-08-31;Sao Paulo;Botafogo RJ;4;0;H;1,68;4,13;5,37;1,68;3,71;4,64
2012;2012-09-01;Figueirense;Fluminense;2;2;D;3,09;3,43;2,44;3,05;3,18;2,29
2012;2012-09-01;Palmeiras;Gremio;0;0;D;2,5;3,43;2,99;2,46;3,16;2,8
2012;2012-09-02;Vasco;Portuguesa;2;0;H;1,7;3,92;5,51;1,64;3,61;5,18
2012;2012-09-02;Bahia;Sao Paulo;1;0;H;2,97;3,37;2,54;2,85;3,17;2,4
2012;2012-09-02;Corinthians;Atletico-MG;1;0;H;2,21;3,45;3,53;2,24;3,22;3,08
2012;2012-09-02;Internacional;Flamengo RJ;4;1;H;1,68;3,93;5,7;1,65;3,61;5,07
2012;2012-09-02;Sport Recife;Santos;2;1;H;2,39;3,25;3,32;2,43;3,15;2,82
2012;2012-09-02;Botafogo RJ;Coritiba;2;0;H;1,93;3,77;4,15;1,88;3,4;3,94
2012;2012-09-02;Cruzeiro;Nautico;3;0;H;1,63;4,05;6,09;1,56;3,8;5,67
2012;2012-09-02;Ponte Preta;Atletico GO;3;1;H;2,14;3,49;3,66;2;3,29;3,59
2012;2012-09-05;Bahia;Atletico-MG;0;0;D;2,89;3,34;2,62;2,87;3,15;2,41
